Id,Lang,Sentence_Text,Letters,Words,Num_Sentences,flesch
251,en,"Certain objects that came into contact with the Cloth, such as one of the pins used to secure the Shroud during the 1868 exhibition displayed here, were also religiously preserved and passed down.",157,33,1,47.72
252,en,One-to-one scale copy of the Shroud on canvas: details can be appreciated in a way very close to direct observation.,93,20,1,34.26
253,en,"In the reconstruction of the Shroud's history, the passages from Jerusalem to Edessa (now Sanliurfa in Turkey), and from there to Constantinople and Athens in Greece during the period of the Latin Empire of the East, are currently hypothetical.",199,39,1,13.23
254,en,"While those from Lirey, France, to Chambéry, Savoy, and to Turin are precisely documented.",72,14,1,47.6
255,en,"In the following display cases, you can follow the development of these routes.",65,13,1,50.47
256,en,Two eighteenth-century reliquaries containing a small thread of the Shroud along with others containing fabrics that came into contact with the sacred Cloth.,133,23,1,36.36
257,en,"In fifteen hundred and six, Pope Julius II granted public cult of the Shroud, fixing its feast day on May 4 and approving the Mass and Office, the text of which—in a seventeenth-century edition—is displayed in this case.",175,38,1,36.91
258,en,"In 1453, the last descendant of Geoffroy de Charny, Marguerite, cedes the Shroud to the House of Savoy.",78,18,1,61.67
259,en,"Regarding the oldest period of the Shroud's history, a hypothesis still being studied today identifies the Shroud of Turin with the Mandylion of Edessa, a small cloth known since the 4th century in the East containing the image, believed to be miraculously imprinted, of the face of Christ.",236,48,1,13.59
260,en,One of the historical problems on which research focuses concerns the possible events of the Shroud in the first millennium.,104,20,1,46.95
261,en,"If the Shroud can be identified with the Mandylion of Edessa, then it would have been transferred to Constantinople in nine hundred and forty-four, and from there, through unclear routes, it would have reached Europe.",177,35,1,38.37
262,en,This display case contains some objects and documents that could support this thesis.,72,13,1,63.49
263,en,"In 1578, Emmanuel Philibert of Savoy, after moving the political and administrative center of the State from Chambéry to Turin, also wanted to bring the religious palladium of the dynasty, the Shroud.",160,32,1,18.37
264,en,"The Cloth made the journey folded several times inside this small wooden chest, which in ancient times must have been covered with precious scales, perhaps mother-of-pearl and tortoiseshell.",158,28,1,45.47
265,en,"With the granting of the official cult of the Shroud by Pope Julius II in fifteen hundred and six, which fixed the feast day for May 4, the fame and devotion toward the relic grew, also as a consequence of the periodic exhibitions held in Chambéry.",198,46,1,38.76
266,en,The seventeenth and eighteenth centuries are the centuries in which devotion to the Shroud developed most extensively.,101,17,1,30.33
267,en,Numerous representations were produced and circulated.,48,6,1,-24.85
268,en,"In 1735, the construction of the church of the Confraternity of the Most Holy Shroud, located above this crypt, was completed.",98,21,1,52.58
269,en,"Between the sixteenth and seventeenth centuries, more than 100 texts entirely dedicated to or otherwise dealing with the Shroud were written and published.",128,23,1,32.68
270,en,"From the second half of the eighteenth century, exhibitions began to become rarer.",68,13,1,43.96
271,en,"In the nineteenth century, after the reign of Charles Felix, exhibitions became even rarer, occurring only for dynastic weddings.",107,19,1,27.26
272,en,The Shroud is not the only image of Christ to have been an object of devotion in Europe since the Middle Ages.,88,22,1,69.14
273,en,"From the Veronica to the Mandylion to the Shroud of Besançon, other venerated images believed to be of Christ are remembered through the centuries.",122,24,1,34.43
274,en,"Of all of them, the only one that has stood the test of critical scrutiny due to its unique characteristics is the Shroud of Turin.",105,25,1,59.64
275,en,"In this display case, you can admire a beautiful depiction of the Deposition from the Cross with the exhibition of the Shroud.",103,22,1,49.91
276,en,"On the sides, in monochrome, are the instruments of the Passion presented by angels.",68,14,1,47.6
277,en,It is a work from the beginning of the seventeenth century painted on silk by Giovanni Battista Della Rovere.,90,19,1,36.16
278,en,"The iconography of the burial in the Shroud, of which you have already seen an enlargement.",74,16,1,47.83
279,en,"The purpose of the Confraternity, the creator of the Museum, has been since its origins to spread the cult and knowledge of the Shroud.",109,24,1,59.1
280,en,"In the glass case, you can observe the precious wooden chest, covered with silver leaf and studded with semi-precious stones and enamels, in which the Shroud was kept rolled up from the end of the 16th century until nineteen ninety-eight.",191,40,1,41.45
281,en,The lid is made of wood covered with fabric.,35,9,1,94.3
282,en,"It is a precious work commissioned by the House of Savoy, which over time has undergone some additions and modifications that, however, have not altered its original layout.",142,28,1,36.41
283,en,"Below the case are displayed the accessories used for the conservation of the Shroud inside the chest, which were removed when the new conservation system was adopted.",139,27,1,44.7
284,en,The silk-covered wooden roller on which the sheet was rolled and the pads that were inserted between the roller and the fabric are visible.,114,24,1,55.58
285,en,Seven solemn exhibitions have been held from the twentieth century to the present.,69,13,1,43.96
286,en,"The first took place in 1931, on the occasion of the wedding of the future King Umberto II.",68,18,1,75.77
287,en,"In 1933, another followed to celebrate the Holy Year of Redemption.",51,11,1,49.54
288,en,"In 1973, a televised exhibition was held instead.",36,8,1,50.67
289,en,"In 1978, the event commemorated the four-hundredth anniversary of the Shroud's arrival in Turin.",75,14,1,23.43
290,en,The 1998 exhibition commemorated several anniversaries of Piedmontese religious history and the centenary of the first photograph of the Cloth.,119,20,1,0.42
291,en,"In 2000, the Great Jubilee was celebrated, and finally, the list concludes with the exhibition of 2010.",75,17,1,50.24
292,en,One can see how the Shroud is preserved laid flat in a large controlled-atmosphere case.,72,15,1,61.89
293,en,The statue was created in nineteen ninety-eight by the sculptor Luigi Mattei.,64,12,1,32.5
294,en,"In this niche is displayed the camera that belonged to the lawyer from Asti, Secondo Pia, with which he took the first photographs of the Shroud on May 25 and 28, eighteen ninety-eight.",144,33,1,52.85
295,en,It is a device specially built for Pia by a Turin craftsman in order to take large-format photographs.,83,18,1,47.56
296,en,"Photograph of the Shroud’s altar in the Cathedral during the exhibition of eighteen ninety-eight, taken by Secondo Pia.",98,18,1,28.77
297,en,Enlargement of the face in photographic negative.,42,7,1,18.44
298,en,This niche displays several works by artists inspired by the face of the Man of the Shroud.,74,17,1,80.1
299,en,These are works produced from nineteen thirty-one to the present day.,57,11,1,64.92
300,en,"At the center is the evocative work 'Resurrection' by the young contemporary Polish artist Bartosz Keska from Zakopane, which captures the moment of Christ's return to life, expressed by the intensely luminous silhouette that comes to life beneath the Shroud.",214,40,1,18.19
301,en,"The publication of the results of Pia's photographs caused a renewed interest in the Shroud, but also many controversies.",100,19,1,45.07
302,en,The Shroud presents two types of impressions: bloodstains and body marks.,61,11,1,72.62
303,en,"Reproduction of a helmet of thorny branches, which remains the most credited hypothesis for the Crown of Thorns in the narrative.",107,21,1,40.49
304,en,One can recognize the fracture of the nose and a hematoma on the right cheekbone.,66,15,1,61.89
305,en,"On the forehead, blood flows are evident, caused by a helmet of thorny branches, like the one displayed alongside.",92,19,1,53.97
306,en,"Secondo Pia, born in 1855 and died in nineteen forty-one, was one of the greatest photographers of the nineteenth century.",95,20,1,46.95
307,en,This display case documents the operations for the conservation of the Shroud carried out in June-July two thousand and two.,103,20,1,42.72
308,en,"On the left wrist, a trickle of blood is visible, having flowed from a wound caused by the penetration of a nail.",89,22,1,72.99
309,en,"Displayed alongside are three eighteenth-century nails reconstructed in imitation of those used for crucifixions in Roman times, forged probably including some fragments of nails believed to be original, as shown by the hanging seals.",197,34,1,18.05
310,en,Conservation operations in the two thousands.,39,6,1,17.45
311,en,"On April 21, 1988, fabric samples were taken from the Shroud to be subjected to dating using the radiocarbon method at the laboratories of Oxford, Zurich, and Tucson.",128,28,1,39.43
312,en,Studies of the image of the Shroud with the aid of computers are represented.,63,14,1,65.73
313,en,This display case illustrates the study of the various traces present on the Shroud.,70,14,1,59.68
314,en,"Some marks are due to burns, wax, and water.",33,9,1,103.7
315,en,"Other traces derive from the contact of the sheet with the body, such as blood, serum, and skin cells.",80,19,1,76.23
316,en,"Furthermore, the preservative substances used are analyzed, including aloe and myrrh.",72,11,1,3.4
317,en,"Finally, the dust that has deposited on the fabric over the centuries is examined.",67,14,1,35.51
318,en,Reconstruction of a loom of the period.,32,7,1,66.79
319,en,"Scale reconstruction of a first-century Jewish tomb, set against a floor plan of the Basilica of the Holy Sepulchre in Jerusalem during the Crusader period.",129,25,1,25.8
320,en,Blessed Sebastiano Valfrè.,23,3,1,34.59
321,en,Saint Francis de Sales.,19,4,1,75.88
322,en,Pope Pius Seventh.,15,3,1,62.79
323,en,"In this display case, you can see some fragments of the fabrics that protected the Shroud over time inside the chest in which it was kept, distributed as 'contact' relics and accompanied by an authentication certificate testifying to their actual contact with the Shroud.",223,44,1,21.82
324,en,"Certain objects that came into contact with the Cloth, such as one of the pins used to secure the Shroud during the 1868 exhibition displayed here, were also religiously preserved and passed down.",157,33,1,47.72
325,en,One-to-one scale copy of the Shroud on canvas: details can be appreciated in a way very close to direct observation.,93,20,1,34.26
326,en,"In the reconstruction of the Shroud's history, the passages from Jerusalem to Edessa (now Sanliurfa in Turkey), and from there to Constantinople and Athens in Greece during the period of the Latin Empire of the East, are currently hypothetical.",199,39,1,13.23
327,en,"While those from Lirey, France, to Chambéry, Savoy, and to Turin are precisely documented.",72,14,1,47.6
328,en,"In the following display cases, you can follow the development of these routes.",65,13,1,50.47
329,en,Two eighteenth-century reliquaries containing a small thread of the Shroud along with others containing fabrics that came into contact with the sacred Cloth.,133,23,1,36.36
330,en,"In fifteen hundred and six, Pope Julius II granted public cult of the Shroud, fixing its feast day on May 4 and approving the Mass and Office, the text of which—in a seventeenth-century edition—is displayed in this case.",175,38,1,36.91
331,en,"In 1453, the last descendant of Geoffroy de Charny, Marguerite, cedes the Shroud to the House of Savoy.",78,18,1,61.67
332,en,"Regarding the oldest period of the Shroud's history, a hypothesis still being studied today identifies the Shroud of Turin with the Mandylion of Edessa, a small cloth known since the 4th century in the East containing the image, believed to be miraculously imprinted, of the face of Christ.",236,48,1,13.59
333,en,One of the historical problems on which research focuses concerns the possible events of the Shroud in the first millennium.,104,20,1,46.95
334,en,"If the Shroud can be identified with the Mandylion of Edessa, then it would have been transferred to Constantinople in nine hundred and forty-four, and from there, through unclear routes, it would have reached Europe.",177,35,1,38.37
335,en,This display case contains some objects and documents that could support this thesis.,72,13,1,63.49
336,en,"In 1578, Emmanuel Philibert of Savoy, after moving the political and administrative center of the State from Chambéry to Turin, also wanted to bring the religious palladium of the dynasty, the Shroud.",160,32,1,18.37
337,en,"The Cloth made the journey folded several times inside this small wooden chest, which in ancient times must have been covered with precious scales, perhaps mother-of-pearl and tortoiseshell.",158,28,1,45.47
338,en,"With the granting of the official cult of the Shroud by Pope Julius II in fifteen hundred and six, which fixed the feast day for May 4, the fame and devotion toward the relic grew, also as a consequence of the periodic exhibitions held in Chambéry.",198,46,1,38.76
339,en,The seventeenth and eighteenth centuries are the centuries in which devotion to the Shroud developed most extensively.,101,17,1,30.33
340,en,Numerous representations were produced and circulated.,48,6,1,-24.85
341,en,"In 1735, the construction of the church of the Confraternity of the Most Holy Shroud, located above this crypt, was completed.",98,21,1,52.58
342,en,"Between the sixteenth and seventeenth centuries, more than 100 texts entirely dedicated to or otherwise dealing with the Shroud were written and published.",128,23,1,32.68
343,en,"From the second half of the eighteenth century, exhibitions began to become rarer.",68,13,1,43.96
344,en,"In the nineteenth century, after the reign of Charles Felix, exhibitions became even rarer, occurring only for dynastic weddings.",107,19,1,27.26
345,en,The Shroud is not the only image of Christ to have been an object of devotion in Europe since the Middle Ages.,88,22,1,69.14
346,en,"From the Veronica to the Mandylion to the Shroud of Besançon, other venerated images believed to be of Christ are remembered through the centuries.",122,24,1,34.43
347,en,"Of all of them, the only one that has stood the test of critical scrutiny due to its unique characteristics is the Shroud of Turin.",105,25,1,59.64
348,en,"In this display case, you can admire a beautiful depiction of the Deposition from the Cross with the exhibition of the Shroud.",103,22,1,49.91
349,en,"On the sides, in monochrome, are the instruments of the Passion presented by angels.",68,14,1,47.6
350,en,It is a work from the beginning of the seventeenth century painted on silk by Giovanni Battista Della Rovere.,90,19,1,36.16
351,en,"The iconography of the burial in the Shroud, of which you have already seen an enlargement.",74,16,1,47.83
352,en,"The purpose of the Confraternity, the creator of the Museum, has been since its origins to spread the cult and knowledge of the Shroud.",109,24,1,59.1
353,en,"In the glass case, you can observe the precious wooden chest, covered with silver leaf and studded with semi-precious stones and enamels, in which the Shroud was kept rolled up from the end of the 16th century until nineteen ninety-eight.",191,40,1,41.45
354,en,The lid is made of wood covered with fabric.,35,9,1,94.3
355,en,"It is a precious work commissioned by the House of Savoy, which over time has undergone some additions and modifications that, however, have not altered its original layout.",142,28,1,36.41
356,en,"Below the case are displayed the accessories used for the conservation of the Shroud inside the chest, which were removed when the new conservation system was adopted.",139,27,1,44.7
357,en,The silk-covered wooden roller on which the sheet was rolled and the pads that were inserted between the roller and the fabric are visible.,114,24,1,55.58
358,en,Seven solemn exhibitions have been held from the twentieth century to the present.,69,13,1,43.96
359,en,"The first took place in 1931, on the occasion of the wedding of the future King Umberto II.",68,18,1,75.77
360,en,"In 1933, another followed to celebrate the Holy Year of Redemption.",51,11,1,49.54
361,en,"In 1973, a televised exhibition was held instead.",36,8,1,50.67
362,en,"In 1978, the event commemorated the four-hundredth anniversary of the Shroud's arrival in Turin.",75,14,1,23.43
363,en,The 1998 exhibition commemorated several anniversaries of Piedmontese religious history and the centenary of the first photograph of the Cloth.,119,20,1,0.42
364,en,"In 2000, the Great Jubilee was celebrated, and finally, the list concludes with the exhibition of 2010.",75,17,1,50.24
365,en,One can see how the Shroud is preserved laid flat in a large controlled-atmosphere case.,72,15,1,61.89
366,en,The statue was created in nineteen ninety-eight by the sculptor Luigi Mattei.,64,12,1,32.5
367,en,"In this niche is displayed the camera that belonged to the lawyer from Asti, Secondo Pia, with which he took the first photographs of the Shroud on May 25 and 28, eighteen ninety-eight.",144,33,1,52.85
368,en,It is a device specially built for Pia by a Turin craftsman in order to take large-format photographs.,83,18,1,47.56
369,en,"Photograph of the Shroud’s altar in the Cathedral during the exhibition of eighteen ninety-eight, taken by Secondo Pia.",98,18,1,28.77
370,en,Enlargement of the face in photographic negative.,42,7,1,18.44
371,en,This niche displays several works by artists inspired by the face of the Man of the Shroud.,74,17,1,80.1
372,en,These are works produced from nineteen thirty-one to the present day.,57,11,1,64.92
373,en,"At the center is the evocative work 'Resurrection' by the young contemporary Polish artist Bartosz Keska from Zakopane, which captures the moment of Christ's return to life, expressed by the intensely luminous silhouette that comes to life beneath the Shroud.",214,40,1,18.19
374,en,"The publication of the results of Pia's photographs caused a renewed interest in the Shroud, but also many controversies.",100,19,1,45.07
375,en,The Shroud presents two types of impressions: bloodstains and body marks.,61,11,1,72.62
376,en,"Reproduction of a helmet of thorny branches, which remains the most credited hypothesis for the Crown of Thorns in the narrative.",107,21,1,40.49
377,en,One can recognize the fracture of the nose and a hematoma on the right cheekbone.,66,15,1,61.89
378,en,"On the forehead, blood flows are evident, caused by a helmet of thorny branches, like the one displayed alongside.",92,19,1,53.97
379,en,"Secondo Pia, born in 1855 and died in nineteen forty-one, was one of the greatest photographers of the nineteenth century.",95,20,1,46.95
380,en,This display case documents the operations for the conservation of the Shroud carried out in June-July two thousand and two.,103,20,1,42.72
381,en,"On the left wrist, a trickle of blood is visible, having flowed from a wound caused by the penetration of a nail.",89,22,1,72.99
382,en,"Displayed alongside are three eighteenth-century nails reconstructed in imitation of those used for crucifixions in Roman times, forged probably including some fragments of nails believed to be original, as shown by the hanging seals.",197,34,1,18.05
383,en,Conservation operations in the two thousands.,39,6,1,17.45
384,en,"On April 21, 1988, fabric samples were taken from the Shroud to be subjected to dating using the radiocarbon method at the laboratories of Oxford, Zurich, and Tucson.",128,28,1,39.43
385,en,Studies of the image of the Shroud with the aid of computers are represented.,63,14,1,65.73
386,en,This display case illustrates the study of the various traces present on the Shroud.,70,14,1,59.68
387,en,"Some marks are due to burns, wax, and water.",33,9,1,103.7
388,en,"Other traces derive from the contact of the sheet with the body, such as blood, serum, and skin cells.",80,19,1,76.23
389,en,"Furthermore, the preservative substances used are analyzed, including aloe and myrrh.",72,11,1,3.4
390,en,"Finally, the dust that has deposited on the fabric over the centuries is examined.",67,14,1,35.51
391,en,Reconstruction of a loom of the period.,32,7,1,66.79
392,en,"Scale reconstruction of a first-century Jewish tomb, set against a floor plan of the Basilica of the Holy Sepulchre in Jerusalem during the Crusader period.",129,25,1,25.8
393,en,Blessed Sebastiano Valfrè.,23,3,1,34.59
394,en,Saint Francis de Sales.,19,4,1,75.88
395,en,Pope Pius Seventh.,15,3,1,62.79
396,en,"In this display case, you can see some fragments of the fabrics that protected the Shroud over time inside the chest in which it was kept, distributed as 'contact' relics and accompanied by an authentication certificate testifying to their actual contact with the Shroud.",223,44,1,21.82
397,en,"Certain objects that came into contact with the Cloth, such as one of the pins used to secure the Shroud during the 1868 exhibition displayed here, were also religiously preserved and passed down.",157,33,1,47.72
398,en,One-to-one scale copy of the Shroud on canvas: details can be appreciated in a way very close to direct observation.,93,20,1,34.26
399,en,"In the reconstruction of the Shroud's history, the passages from Jerusalem to Edessa (now Sanliurfa in Turkey), and from there to Constantinople and Athens in Greece during the period of the Latin Empire of the East, are currently hypothetical.",199,39,1,13.23
400,en,"While those from Lirey, France, to Chambéry, Savoy, and to Turin are precisely documented.",72,14,1,47.6
401,en,"In the following display cases, you can follow the development of these routes.",65,13,1,50.47
402,en,Two eighteenth-century reliquaries containing a small thread of the Shroud along with others containing fabrics that came into contact with the sacred Cloth.,133,23,1,36.36
403,en,"In fifteen hundred and six, Pope Julius II granted public cult of the Shroud, fixing its feast day on May 4 and approving the Mass and Office, the text of which—in a seventeenth-century edition—is displayed in this case.",175,38,1,36.91
404,en,"In 1453, the last descendant of Geoffroy de Charny, Marguerite, cedes the Shroud to the House of Savoy.",78,18,1,61.67
405,en,"Regarding the oldest period of the Shroud's history, a hypothesis still being studied today identifies the Shroud of Turin with the Mandylion of Edessa, a small cloth known since the 4th century in the East containing the image, believed to be miraculously imprinted, of the face of Christ.",236,48,1,13.59
406,en,One of the historical problems on which research focuses concerns the possible events of the Shroud in the first millennium.,104,20,1,46.95
407,en,"If the Shroud can be identified with the Mandylion of Edessa, then it would have been transferred to Constantinople in nine hundred and forty-four, and from there, through unclear routes, it would have reached Europe.",177,35,1,38.37
408,en,This display case contains some objects and documents that could support this thesis.,72,13,1,63.49
409,en,"In 1578, Emmanuel Philibert of Savoy, after moving the political and administrative center of the State from Chambéry to Turin, also wanted to bring the religious palladium of the dynasty, the Shroud.",160,32,1,18.37
410,en,"The Cloth made the journey folded several times inside this small wooden chest, which in ancient times must have been covered with precious scales, perhaps mother-of-pearl and tortoiseshell.",158,28,1,45.47
411,en,"With the granting of the official cult of the Shroud by Pope Julius II in fifteen hundred and six, which fixed the feast day for May 4, the fame and devotion toward the relic grew, also as a consequence of the periodic exhibitions held in Chambéry.",198,46,1,38.76
412,en,The seventeenth and eighteenth centuries are the centuries in which devotion to the Shroud developed most extensively.,101,17,1,30.33
413,en,Numerous representations were produced and circulated.,48,6,1,-24.85
414,en,"In 1735, the construction of the church of the Confraternity of the Most Holy Shroud, located above this crypt, was completed.",98,21,1,52.58
415,en,"Between the sixteenth and seventeenth centuries, more than 100 texts entirely dedicated to or otherwise dealing with the Shroud were written and published.",128,23,1,32.68
416,en,"From the second half of the eighteenth century, exhibitions began to become rarer.",68,13,1,43.96
417,en,"In the nineteenth century, after the reign of Charles Felix, exhibitions became even rarer, occurring only for dynastic weddings.",107,19,1,27.26
418,en,The Shroud is not the only image of Christ to have been an object of devotion in Europe since the Middle Ages.,88,22,1,69.14
419,en,"From the Veronica to the Mandylion to the Shroud of Besançon, other venerated images believed to be of Christ are remembered through the centuries.",122,24,1,34.43
420,en,"Of all of them, the only one that has stood the test of critical scrutiny due to its unique characteristics is the Shroud of Turin.",105,25,1,59.64
421,en,"In this display case, you can admire a beautiful depiction of the Deposition from the Cross with the exhibition of the Shroud.",103,22,1,49.91
422,en,"On the sides, in monochrome, are the instruments of the Passion presented by angels.",68,14,1,47.6
423,en,It is a work from the beginning of the seventeenth century painted on silk by Giovanni Battista Della Rovere.,90,19,1,36.16
424,en,"The iconography of the burial in the Shroud, of which you have already seen an enlargement.",74,16,1,47.83
425,en,"The purpose of the Confraternity, the creator of the Museum, has been since its origins to spread the cult and knowledge of the Shroud.",109,24,1,59.1
426,en,"In the glass case, you can observe the precious wooden chest, covered with silver leaf and studded with semi-precious stones and enamels, in which the Shroud was kept rolled up from the end of the 16th century until nineteen ninety-eight.",191,40,1,41.45
427,en,The lid is made of wood covered with fabric.,35,9,1,94.3
428,en,"It is a precious work commissioned by the House of Savoy, which over time has undergone some additions and modifications that, however, have not altered its original layout.",142,28,1,36.41
429,en,"Below the case are displayed the accessories used for the conservation of the Shroud inside the chest, which were removed when the new conservation system was adopted.",139,27,1,44.7
430,en,The silk-covered wooden roller on which the sheet was rolled and the pads that were inserted between the roller and the fabric are visible.,114,24,1,55.58
431,en,Seven solemn exhibitions have been held from the twentieth century to the present.,69,13,1,43.96
432,en,"The first took place in 1931, on the occasion of the wedding of the future King Umberto II.",68,18,1,75.77
433,en,"In 1933, another followed to celebrate the Holy Year of Redemption.",51,11,1,49.54
434,en,"In 1973, a televised exhibition was held instead.",36,8,1,50.67
435,en,"In 1978, the event commemorated the four-hundredth anniversary of the Shroud's arrival in Turin.",75,14,1,23.43
436,en,The 1998 exhibition commemorated several anniversaries of Piedmontese religious history and the centenary of the first photograph of the Cloth.,119,20,1,0.42
437,en,"In 2000, the Great Jubilee was celebrated, and finally, the list concludes with the exhibition of 2010.",75,17,1,50.24
438,en,One can see how the Shroud is preserved laid flat in a large controlled-atmosphere case.,72,15,1,61.89
